iteration,weight1,weight2,weight3,weight4,weight_bias,dw1,dw2,dw3,dw4,dw_bias,activation
63,0.444281,0.762429,0.683742,0.297615,0.488633,-2.76267e-09,-1.00461e-09,-2.40388e-09,-7.17578e-10,-3.58789e-10,0.999993
64,0.444281,0.762429,0.683742,0.297615,0.488633,-1.20574e-07,-5.16746e-08,-9.37798e-08,-3.44497e-08,-1.91387e-08,0.999943
65,0.444281,0.762429,0.683742,0.297615,0.488633,-1.00859e-08,-4.96767e-09,-8.58053e-09,-3.16125e-09,-1.50536e-09,0.999985
66,0.444281,0.762429,0.683742,0.297615,0.488633,-6.42154e-09,-2.85402e-09,-5.35128e-09,-1.60539e-09,-8.91881e-10,0.999989
67,0.444281,0.762429,0.683742,0.297615,0.488633,-1.2766e-07,-5.76529e-08,-9.88336e-08,-3.70626e-08,-2.05903e-08,0.999941
68,0.444281,0.762429,0.683742,0.297615,0.488633,-8.82607e-08,-4.34069e-08,-7.0898e-08,-2.60441e-08,-1.4469e-08,0.999951
69,0.444281,0.762429,0.683742,0.297615,0.488633,-3.09078e-08,-1.35221e-08,-2.70443e-08,-1.01416e-08,-4.82934e-09,0.999972
70,0.444281,0.762429,0.683742,0.297615,0.488633,-1.28989e-08,-5.37456e-09,-1.03908e-08,-2.86643e-09,-1.79152e-09,0.999984
71,0.444281,0.762429,0.683742,0.297615,0.488633,-8.35624e-09,-3.16182e-09,-6.88825e-09,-2.14552e-09,-1.12922e-09,0.999987
72,0.444281,0.762429,0.683742,0.297615,0.488633,-7.78438e-10,-3.74438e-10,-6.30633e-10,-1.97073e-10,-9.85364e-11,0.999997
73,0.444281,0.762429,0.683742,0.297615,0.488633,-2.91218e-08,-1.27408e-08,-2.54816e-08,-1.00106e-08,-4.55029e-09,0.999973
74,0.444281,0.762429,0.683742,0.297615,0.488633,-9.41494e-08,-4.18442e-08,-7.62162e-08,-2.24165e-08,-1.49444e-08,0.99995
75,0.444281,0.762429,0.683742,0.297615,0.488633,-7.9131e-08,-3.3728e-08,-7.26449e-08,-1.81612e-08,-1.29723e-08,0.999953
76,0.444281,0.762429,0.683742,0.297615,0.488633,-3.86955e-09,-1.50762e-09,-3.06549e-09,-1.15584e-09,-5.02539e-10,0.999992
77,0.444281,0.762429,0.683742,0.297615,0.488633,-1.11416e-08,-6.01294e-09,-9.90367e-09,-4.24443e-09,-1.76851e-09,0.999983
78,0.444281,0.762429,0.683742,0.297615,0.488633,-2.68127e-08,-1.29874e-08,-2.30422e-08,-7.54108e-09,-4.18949e-09,0.999974
79,0.444281,0.762429,0.683742,0.297615,0.488633,-1.08781e-07,-5.43906e-08,-8.7025e-08,-3.26344e-08,-1.81302e-08,0.999945
80,0.444281,0.762429,0.683742,0.297615,0.488633,-1.77792e-08,-7.98775e-09,-1.39141e-08,-5.41105e-09,-2.57669e-09,0.99998
81,0.444281,0.762429,0.683742,0.297615,0.488633,0.01621,0.0111245,0.0044498,0.000635686,0.00317843,0.998975
82,0.44266,0.761317,0.683297,0.297552,0.488315,0.0251527,0.0153996,0.00718648,0.00102664,0.0051332,0.998291
83,0.440144,0.759777,0.682578,0.297449,0.487802,0.0246784,0.0168023,0.00682594,0.00105014,0.00525072,0.998253
84,0.437677,0.758097,0.681896,0.297344,0.487277,0.0241919,0.0163032,0.00788865,0.00105182,0.0052591,0.998251
85,0.435257,0.756466,0.681107,0.297239,0.486751,0.0165443,0.0119119,0.00463241,0.000661773,0.00330886,0.998957
86,0.433603,0.755275,0.680644,0.297173,0.48642,0.00934916,0.00675217,0.00294325,0.00069253,0.00173133,0.999482
